date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:44	1002/1002	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2005:06:43%20GMT	https://demo.w3layouts.com/robots.txt		(from )
10:36:45	32233/32233	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2005:06:45%20GMT	https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html	(from )
10:36:47	185149/185149	---M-Z	200	added ('OK')	text/css	etag:%221587793495%22	https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/assets/css/style-freedom.css	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/assets/css/style-freedom.css	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:08	55045/55045	---MCZ	200	added ('OK')	application/javascript	etag:W/%22280c280b07e4ecffd266fde0d5f332ac%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/Aasif1/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:08	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:08	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:10	23861/23861	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2005:07:09%20GMT	https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/about.html	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/about.html	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:11	31617/31617	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2005:07:10%20GMT	https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/services.html	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/services.html	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:11	27731/27731	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2005:07:11%20GMT	https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/job-single.html	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/job-single.html	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
10:37:12	21191/21191	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2005:07:11%20GMT	https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/team.html	C:/My%20Web%20Sites/Aasif1/demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/team.html	(from https://demo.w3layouts.com/demosWTR/Freedom/25-04-2020/hr-crew-freedom-demo_Free/422566165/web/index.html)
